gene_id,cluster
ATG13,8
ATG14,8
ATG16L1,1
ATG4A,3
ATIC,1
ATL1,3
ATL3,5
ATMIN,8
ATOH8,2
ATOSA,3
ATOSB,2
ATP10D,6
ATP11A,7
ATP11C,4
ATP13A1,8
ATP1A1,8
ATP1A2,1
ATP1A3,6
ATP1B2,3
ATP1B3,9
ATP2A3,4
ATP2B1,10
ATP2B4,3
ATP5MG,3
ATP5PF,6
ATP6V0A2,8
ATP6V0E2,2
ATP6V0E2-AS1,2
ATP6V1B2,3
ATP6V1D,1
ATP6V1G2,6
ATP7A,3
ATP8A2,4
ATP8B2,7
ATP8B3,9
ATP9A,2
ATPAF1,7
ATR,3
ATRNL1,3
ATXN1,3
ATXN10,10
ATXN1L,5
ATXN7,10
ATXN7L3,8
ATXN7L3B,2
AUNIP,1
AURKA,4
AURKC,1
AUTS2,4
AVEN,1
AXIN1,8
AXL,7
AZI2,3
AZIN2,3
B2M,3
B3GALNT1,8
B3GALT1,8
B3GALT2,6
B3GALT5,4
B3GAT1,7
B3GAT2,8
B3GLCT,3
B3GNT2,5
B3GNT5,3
B3GNTL1,8
B4GALNT1,6
B4GALNT3,8
B4GALT4,5
B4GALT5,7
B4GAT1,3
B9D1,2
BAALC,2
BABAM2,1
BACE1,2
BACE2,3
BACH2,2
BAG2,3
BAG4,5
BAIAP2,2
BAIAP2-DT,2
BAIAP2L1,1
BAK1,8
BAMBI,9
BAX,9
BAZ1A,3
BAZ2B,3
BAZ2B-AS1,5
BBOF1,2
BBS12,3
BBS2,3
BBS5,2
BBS7,3
BBX,3
BCAP31,10
BCAR3,2
BCAS3,1
BCAS4,8
BCDIN3D,3
BCHE,3
BCKDHB,1
BCL2,9
BCL2L11,7
BCL6,5
BCL6B,1
BCL7A,2
BCL9,8
BCL9L,8
BCO1,5
BCOR,1
BCORL1,10
BDH1,1
BDH2,3
BDNF-AS,3
BEND3,8
BEND4,4
BEND5,3
BEND7,3
BEX1,6
BICC1,3
BICDL1,4
BICRAL,4
BIRC2,9
BISPR,1
BIVM,3
BLACAT1,8
BLCAP,6
BLMH,3
BLTP2,7
BLTP3B,3
BLVRB,1
BMF,7
BMI1,3
BMP2,1
BMP2K,5
BMP7,9
BMP8B,3
BMPR1B,3
BMPR2,3
BMS1,8
BNC2,4
BNIP1,3
BOLA3-DT,4
BORCS7,3
BPGM,3
BPNT1,3
BRAP,8
BRD3OS,2
BRI3,7
BRI3BP,2
BRMS1L,3
BRPF3,7
BSCL2,3
BSN,6
BST2,1
BTBD1,3
BTBD10,3
BTBD3,5
BTBD6,2
BTBD8,3
BTD,1
BTG1,9
BTG3,3
BTN2A1,3
BTN2A2,8
BTN2A3P,6
BTN3A1,3
BTN3A2,3
BTN3A3,3
BTRC,2
BUB1,4
BYSL,8
BZW2,3
C10orf105,1
C10orf95-AS1,1
C11orf54,9
C11orf71,3
C11orf87,6
C12orf43,8
C12orf75,3
C12orf76,3
C13orf42,4
C14orf132,6
C14orf39,1
C14orf93,3
C15orf39,8
C16orf46,3
C18orf32,3
C1GALT1C1,9
C1QBP,8
C1QTNF3,3
C1R,1
C1RL,8
C1orf115,1
C1orf131,3
C1orf174,2
C1orf198,7
C1orf21,2
C1orf216,4
C1orf226,5
C1orf43,3
C1orf50,6
C1orf54,1
C20orf96,3
C2CD2L,2
C2CD3,7
C2CD5,3
C2orf72,3
C2orf74,6
C2orf74-DT,6
C2orf80,3
C3orf18,6
C3orf62,2
C4orf3,3
C4orf33,3
C4orf46,5
C5,3
C5orf15,10
C6orf118,2
C6orf132,4
C6orf141,5
C6orf89,3
C8orf88,1
C9orf85,3
CA11,1
CA14,1
CA4,5
CA5BP1,8
CA8,9
CAB39L,3
CABLES1,8
CABYR,1
CACHD1,5
CACNA1A,7
CACNA1B,4
CACNA1C,3
CACNA1E,4
CACNA2D1,9
CACNA2D4,1
CACNB4,9
CACNG4,3
CACNG6,3
CACNG8,4
CAD,1
CADM1,3
CADM2,9
CADM3,3
CADM4,3
CADPS,6
CADPS2,8
CALCOCO2,9
CALD1,5
CALM1,9
CALN1,8
CALR,8
CAMK1,8
CAMK2A,6
CAMK2D,3
