gene_id,cluster
FECH,8
FER,3
FERMT1,1
FERMT2,5
FEZ1,4
FEZF1,1
FEZF1-AS1,1
FEZF2,7
FGD3,3
FGD6,10
FGF10,9
FGF11,3
FGF12,3
FGF13,3
FGF19,9
FGF2,5
FGF7,6
FGF9,7
FGFBP3,9
FGFR1,5
FGFR1OP2,3
FGFR2,10
FGFR3,9
FGFR4,1
FGFRL1,2
FH,3
FHDC1,1
FHIP1A,1
FHL1,9
FHL2,1
FHL3,8
FHOD3,5
FICD,8
FIG4,4
FILIP1,8
FILIP1L,3
FIRRE,8
FITM2,2
FJX1,1
FKBP11,8
FKBP14,3
FKBP15,3
FKBP1A,5
FKBP1B,4
FKBP4,7
FKBP5,1
FKBP7,3
FKBP9,2
FLAD1,1
FLCN,8
FLII,8
FLJ16779,3
FLNA,7
FLNB,8
FLNC,8
FLOT2,5
FLRT2,7
FLRT3,9
FLVCR2,8
FMN1,4
FMN2,3
FMNL3,7
FMO4,9
FNBP1L,4
FNDC3A,3
FNDC4,2
FNIP2,6
FNTB,6
FOCAD,3
FOS,7
FOSB,7
FOSL2,7
FOXA2,9
FOXA3,1
FOXB1,4
FOXD1,9
FOXG1,6
FOXH1,4
FOXK2,2
FOXN4,3
FOXO1,3
FOXO3,8
FOXO4,4
FOXP1,7
FOXP2,3
FOXP4,7
FOXRED2,8
FRA10AC1,4
FRAS1,8
FRAT2,4
FREM1,9
FRMD3,1
FRMD4A,8
FRMD4B,3
FRMD5,4
FRMD6,5
FRMPD3,3
FRRS1,9
FRRS1L,9
FRZB,8
FSD1,8
FSD1L,3
FSIP2,6
FST,4
FSTL1,8
FSTL5,3
FTH1,1
FTL,1
FTO,8
FTSJ3,8
FUCA1,8
FUNDC1,3
FUNDC2,3
FUS,8
FUT8,10
FXN,8
FXYD5,1
FXYD6,6
FYB2,5
FYN,2
FYTTD1,3
FZD1,7
FZD2,7
FZD4,7
FZD5,8
FZD6,5
FZD7,4
FZD8,7
FZD9,9
GAB1,3
GABARAP,3
GABARAPL1,1
GABARAPL2,3
GABPB1,5
GABPB1-IT1,3
GABRA3,6
GABRB3,4
GABRG3,7
GAD1,6
GAD2,6
GAL3ST3,8
GAL3ST4,3
GALC,3
GALE,2
GALK2,3
GALM,2
GALNT10,4
GALNT12,1
GALNT13,3
GALNT14,4
GALNT16,2
GALNT17,9
GALNT8,3
GANAB,8
GANC,3
GAP43,6
GAR1,8
GAREM1,8
GAREM2,7
GARIN1B,4
GARNL3,6
GARS1,1
GART,8
GAS1,7
GAS5,4
GAS6,8
GAS7,2
GASK1A,1
GATAD2A,8
GATM,9
GBA1LP,3
GBA2,8
GBE1,9
GCC1,5
GCDH,8
GCFC2,1
GCN1,7
GCNT1,5
GCNT2,5
GDAP1,6
GDAP1L1,6
GDE1,3
GDF11,2
GDI1,3
GDI2,3
GDPD5,1
GEMIN4,8
GEMIN5,7
GEMIN8,4
GET1,3
GFOD1,7
GFOD2,7
GFPT2,1
GFRA1,10
GFRA2,6
GGA2,8
GGA3,8
GGCT,5
GGH,3
GGNBP2,3
GHITM,3
GIGYF1,8
GIGYF2,3
GIHCG,3
GIN1,3
GINS1,5
GINS4,8
GJA1,5
GK,3
GKAP1,3
GLB1,7
GLB1L,7
GLB1L2,2
GLCCI1,3
GLCE,3
GLDC,7
GLE1,3
GLI1,9
GLI2,7
GLI3,7
GLIPR2,2
GLIS3,7
GLMP,5
GLOD4,7
GLP1R,2
GLRB,3
GLRX,8
GLRX2,3
GLRX5,8
GLT8D1,3
GLTP,2
GLUD1,10
GLUD2,8
GLUL,9
GLYATL1,8
GLYCTK,3
GLYR1,8
GM2A,9
GMDS,1
GMDS-DT,3
GMIP,3
GNA12,8
GNAI1,1
GNAO1,3
GNAZ,2
GNB5,8
GNG10,10
GNG2,9
GNG3,6
GNG4,6
GNL1,2
GNL3,1
GNPAT,3
GNPDA1,7
GNPDA2,3
GNPNAT1,5
GNPTAB,1
GNS,7
GOLGA1,3
GOLGA2P5,8
GOLGA7,3
GOLGA8B,8
GOLGB1,3
GOLIM4,2
GOLM1,7
GOLM2,3
GON4L,1
GOPC,3
GORASP1,3
GORASP2,8
GOSR2,7
GOT2,7
GPAT4,7
GPATCH11,3
GPC2,3
GPC3,10
GPC4,4
GPD1L,6
GPD2,5
GPHN,3
GPLD1,7
GPM6A,3
GPM6B,9
GPN2,7
GPN3,5
GPR137B,9
GPR143,1
GPR153,8
GPR161,2
GPR173,6
GPR176,1
GPR27,5
GPR39,9
GPR50,6
GPR85,3
GPRASP1,7
GPRASP2,2
GPRASP3,10
GPRC5B,4
GPRIN1,6
GPRIN2,8
GPSM2,9
GPT2,7
GPX3,8
GPX8,9
GRAMD1B,7
GRAMD2B,1
GRASLND,2
GRB10,2
GRB14,1
GRB2,1
GRB7,1
GREB1L,5
GREM2,9
GRHL1,9
GRIA1,3
GRIA2,6
GRIA3,3
GRIA4,3
GRIK2,6
GRIK3,6
GRIK5,1
GRIN2A,4
GRIP1,2
GRIP2,2
GRK3,9
GRK5,7
GRM3,7
GRM8,9
GRPR,4
GRTP1,8
GRWD1,8
GSDMD,1
GSDME,3
GSE1,4
GSK3B,3
GSN,8
GSPT2,9
GSTA4,3
GSTK1,2
GSTM2,3
GSTM3,3
GSTM4,3
GSTO1,9
GSTO2,1
GSTZ1,1
GSX2,6
GTDC1,4
GTF2B,3
GTF2E2,3
GTF2H3,8
GTF2H4,8
GTF2H5,4
GTF2IP1,2
GTF2IRD1,8
GTF2IRD2,7
GTF2IRD2B,2
GTF3A,3
GTF3C1,7
GTF3C2,8
GTF3C3,3
GTPBP1,7
GTPBP2,1
GTPBP4,5
GTSE1,2
GUCA1A,4
GUCY1A1,3
GUCY1A2,9
GUCY1B1,7
GUSB,8
GUSBP1,3
GVQW3,2
GYG1,3
GYG2,1
H1-0,5
H2AC25,3
H2AJ,2
H2AZ2,3
H2BC21,6
H3-3A,4
H3-3B,4
HABP4,3
HACD1,6
HACD3,10
HACD4,9
HACE1,3
HACL1,1
HADH,2
HADHA,3
HADHB,3
HAPLN1,1
HAPLN4,8
HAPSTR2,3
HARS1,7
HAS2,8
HAS3,1
HAUS4,4
HBEGF,7
HBP1,3
HCCS,8
HCFC1R1,5
HCFC2,3
HCG11,5
HCG18,8
HCN3,3
HCN4,4
HDAC1,9
HDAC2,4
HDAC2-AS2,4
HDAC7,7
HDAC8,3
HDAC9,3
HDGF,7
HDHD3,8
HDLBP,7
HEATR5B,3
HEATR6,1
HEBP1,6
HECW1,6
HECW2,7
HEG1,8
HEMK1,2
HEPH,1
HERC1,3
HERC2,2
HERC2P2,3
HERC2P7,2
HERC2P9,6
HERC3,9
HERC4,3
HERC5,1
HERPUD1,6
HERPUD2-AS1,2
HES1,4
HES3,1
HES5,2
HES6,3
HESX1,1
HEXB,5
HEY1,9
HEYL,5
HGSNAT,2
HHIP,9
HHIP-AS1,9
HIBADH,1
HID1,6
HIF1A,5
HIGD1A,3
HILPDA,1
HINFP,8
HIP1,7
HIRIP3,3
HIVEP1,10
HIVEP2,3
HK1,3
HK2-DT,8
HLA-A,1
HLA-DMA,1
HLA-DOA,1
HLA-E,9
HLCS,8
HLTF,3
HMCN1,5
HMG20A,1
HMGA1,8
HMGB3,9
HMGCR,3
HMGCS1,3
HMGN4,9
HMGN5,9
HMGXB3,7
HMOX1,1
HNRNPAB,8
HNRNPD,8
HNRNPF,1
HNRNPL,8
HNRNPLL,3
HNRNPM,8
HOMER1,5
HOMEZ,8
HOOK1,5
HOPX,9
HP1BP3,2
HPCAL4,6
HPDL,4
HPRT1,8
HPS1,8
HPSE2,8
HRH3,1
HRK,4
HROB,8
HS2ST1,3
HS3ST3A1,7
HS3ST3B1,7
HS6ST2,10
HSBP1,3
HSD17B10,8
HSD17B11,3
HSD17B14,8
HSD17B4,1
HSD17B7,3
HSD17B8,3
HSDL2,3
HSF2,3
HSP90AB1,1
HSP90B1,10
HSPA12A,6
HSPA13,6
HSPA1A,10
HSPA1B,2
HSPA2,4
HSPA4L,3
HSPA5,7
HSPG2,8
HTATIP2,4
HTATSF1,3
HTD2,5
HTR1D,4
HTRA1,6
HTT,7
HUNK,7
HUS1,8
HVCN1,1
HYDIN,9
HYOU1,8
IARS1,5
IBTK,3
ICA1,1
ICA1L,3
ICAM1,1
ICMT,5
ID2,1
ID4,2
IDH1,9
IDH2,2
IDH3A,3
IDI1,3
IDS,3
IER3IP1,3
IFFO2,2
IFI6,6
IFIT1,2
IFIT5,3
IFITM1,1
IFITM2,8
IFITM3,8
IFNAR1,6
IFNAR2,6
IFNGR1,3
IFRD1,3
IFRD2,8
IFT20,6
IFT22,3
IFT27,6
IFT46,3
IFT56,2
IFT57,7
IFT70A,9
IFT70B,9
IFT81,3
IFT88,3
IGBP1,3
IGDCC3,3
IGDCC4,7
IGF2BP1,7
IGFBP3,8
IGFBP5,8
IGSF1,1
IGSF11,10
IGSF21,5
IGSF3,1
IKBIP,2
IKBKE,4
IKZF1,9
IKZF4,2
IL10RB,3
IL11RA,3
IL13RA1,9
IL17D,3
IL17RA,9
IL17RD,8
IL1RAP,10
IL1RAPL1,1
IL4R,8
IL6ST,3
ILDR2,9
ILF3,7
IMP4,7
IMPA2,1
IMPACT,1
IMPDH2,4
INA,6
INAFM2,2
INAVA,8
ING2,5
ING4,3
ING5,7
INIP,6
INPP1,3
INPP5A,3
INPP5B,1
INPP5F,8
INSIG2,3
INSM1,3
INSR,4
INSYN1,3
INTS10,6
INTS12,3
INTS5,8
INTS6,5
INTS6L,6
INTS7,3
INVS,6
IPO13,6
IPO4,8
IPO5,1
IPO9,7
IQCA1,1
IQCB1,3
IQCE,2
IQCH,3
IQCK,3
IQCN,2
IQGAP1,9
IQGAP2,3
IQSEC2,8
IRAK1,8
IRAK4,9
IRF2,3
IRF8,9
IRS4,5
IRX2,4
ISL1,6
ISL1-DT,6
ISLR2,6
ISOC1,9
ITFG1,3
ITGA2,9
ITGA2B,4
ITGA3,7
ITGA4,1
ITGA5,5
ITGA6,5
ITGA7,7
ITGA9,9
ITGA9-AS1,3
ITGAE,3
ITGB1BP1,3
ITGB5,8
ITGB8,3
ITPK1,1
ITPKB,9
ITPR3,4
ITPRID2,3
ITPRIP,9
ITPRIPL1,1
ITSN1,8
ITSN2,3
IVD,8
IVNS1ABP,3
JADE1,5
JADE2,4
JAG1,7
JAK1,3
JAK2,3
JAKMIP2,3
JAKMIP2-AS1,1
JAM2,3
JAM3,3
JAZF1,3
JCAD,1
JDP2,2
JMJD6,3
JOSD1,2
JPH1,1
JPH4,4
JRKL,3
JUP,8
KALRN,3
KANK1,1
KANK4,7
KANSL3,2
KAT14,8
KAT2B,6
KAT6A,2
KAT6B,6
KAT7,4
KATNA1,3
KATNAL1,3
KATNAL2,9
KBTBD11,3
KBTBD11-AS1,3
KBTBD6,3
KCMF1,5
KCNA2,6
KCNB1,6
KCNC1,2
KCNC3,8
KCND1,1
KCNG3,5
KCNH5,4
KCNH8,6
KCNIP2,5
KCNJ13,10
KCNJ8,3
KCNK10,9
KCNK12,2
KCNK2,6
KCNK5,1
KCNK6,1
KCNMA1,8
KCNMB4,6
KCNN1,6
KCNN2,4
KCNN3,3
KCNQ3,7
KCNS3,1
KCNT2,3
KCTD11,3
KCTD13,2
KCTD14,1
KCTD16,6
KCTD18,3
KCTD2,7
KCTD20,2
KCTD21-AS1,7
KCTD3,3
KCTD6,10
KDELR3,9
KDM1A,8
KDM1B,3
KDM2A,1
KDM2B,8
KDM3A,3
KDM4C,7
KDM6A,1
KDM7A,3
KDM8,8
KDR,4
KHDC1,8
KHDC4,8
KHDRBS2,3
KHDRBS3,5
KIAA0319,2
KIAA0408,6
KIAA0753,3
KIAA1217,5
KIAA1328,3
KIAA1549L,6
KIAA1671,7
KIDINS220,6
KIF15,3
KIF17,1
KIF1C,7
KIF20A,4
KIF21A,9
KIF21B,6
KIF24,2
KIF26B,3
KIF27,3
KIF2A,3
KIF2C,3
KIF3A,3
KIF3B,7
KIF3C,3
KIF5A,6
KIF5C,6
KIFAP3,3
KIRREL1,7
KIT,3
KITLG,3
KIZ,9
KLC1,6
KLF10,10
KLF11,1
KLF12,3
KLF16,5
KLF7,6
KLF8,4
KLHDC10,3
KLHDC2,8
KLHDC4,8
KLHDC8A,7
KLHDC8B,2
KLHL13,4
KLHL14,10
KLHL2,3
KLHL20,9
KLHL4,4
KLHL5,9
KLHL9,3
KMT5A,2
KNOP1,1
KNSTRN,3
KPNB1,8
KRAS,4
KRBOX4,3
KRBOX5,3
KRCC1,3
KRI1,8
KRT10,2
KRT10-AS1,3
KRT18,1
KRT19,1
KRT8,8
KRTCAP3,1
L1TD1,1
L2HGDH,5
L3HYPDH,3
L3MBTL1,8
L3MBTL2,8
L3MBTL3,3
LACTB,3
LACTB2,9
LAG3,8
LAMA1,7
LAMB1,1
LAMC1,8
LAMP1,8
LAMTOR3,3
LAMTOR5,3
LAPTM4A,5
LAPTM4B,8
LARGE1,8
LARGE2,1
LARP1,8
LARS2,8
LAS1L,1
LATS2,7
LBH,6
LCA5,3
LCMT2,8
LCTL,8
LDAH,3
LDB2,4
LDHA,1
LDLRAD4,6
LDLRAP1,8
LEFTY2,7
LEMD1-DT,7
LEMD3,3
LEPR,9
LEPROT,9
LETM2,9
LETMD1,3
LFNG,7
LGALS1,1
LGALS3BP,4
LGALS8,3
LGI1,5
LGI2,7
LGMN,8
LGR4,1
LGR5,7
LHFPL2,8
LHFPL4,1
LHFPL6,3
LHPP,1
LHX2,2
LHX5,5
LIAS,7
LIFR,9
LIG4,3
LIM2,5
LIMA1,3
LIMCH1,4
LIMD1,9
LIMK2,8
LIN28A,1
LIN52,2
LIN7A,3
LINC00174,7
LINC00205,7
LINC00261,9
LINC00294,3
LINC00391,1
LINC00467,9
LINC00472,3
LINC00632,9
LINC00641,3
LINC00649,1
LINC00664,5
LINC00665,1
LINC00667,2
LINC00698,4
LINC00847,9
LINC00869,4
LINC00960,4
LINC01003,9
LINC01128,6
LINC01138,4
LINC01145,10
LINC01159,3
LINC01198,10
LINC01224,4
LINC01234,1
LINC01278,3
LINC01414,9
LINC01551,6
LINC01670,3
LINC01833,8
LINC02035,3
LINC02301,3
LINC02367,1
LINC02525,9
LINC02609,9
LINC02693,2
LINC02981,3
LINC02987,7
LINC03025,9
LINC03053,1
LINC03105,3
LINC03112,10
LINC03124,9
LINGO1,1
LIPA,3
LIPG,2
LIPT2,8
LIPT2-AS1,4
LITAF,9
LIX1,10
LIX1L,2
LLGL2,5
LLPH,3
LMAN1,5
LMAN2L,7
LMBRD1,3
LMBRD2,3
LMF1,3
LMLN,3
LMNB1,2
LMNB2,8
LMO1,1
LMO3,3
LMO4,2
LMO7,3
LMTK2,7
LMX1A,1
LNP1,9
LNPEP,9
LNPK,3
LOC100289495,3
LOC100294145,3
LOC100506274,9
LOC100507053,7
LOC101927468,1
LOC101929021,9
LOC101929305,3
LOC103344931,2
LOC105369250,7
LOC105372321,8
LOC105376805,1
LOC105377209,3
LOC107985911,9
LOC112268117,5
LOC122455341,4
LOC124900275,9
LOC124900697,4
LOC124902947,9
LOC124904158,8
LOC124905564,2
LOC124906712,4
LOC128706666,1
LOC283731,6
LOC400499,9
LOC652276,8
LOC728392,2
LOC728485,8
LOC728743,1
LOC729732,5
LONP2,2
LONRF1,3
LONRF2,6
LOXL1-AS1,8
LOXL2,8
LOXL3,3
LPAR1,1
LPAR3,1
LPAR4,10
LPAR6,9
LPCAT3,1
LPGAT1,3
LPIN1,3
LPIN2,8
LRAT,1
LRATD1,3
LRATD2,7
LRBA,1
LRCH1,9
LRCH2,3
LRIF1,9
LRIG1,8
LRIG3,5
LRP10,3
LRP11,3
LRP12,7
LRP2,2
LRP2BP,9
LRP4,8
LRP5,2
LRP8,9
LRRC1,7
LRRC17,3
LRRC23,3
LRRC27,3
LRRC28,3
LRRC3,2
LRRC34,5
LRRC37A3,3
LRRC3B,5
LRRC4,7
LRRC49,3
LRRC4C,6
LRRC51,3
LRRC57,9
LRRC59,7
LRRC7,6
LRRC8A,8
LRRC8B,1
LRRC8C,10
LRRC8C-DT,2
LRRC8D,1
LRRCC1,3
LRRFIP1,3
LRRFIP2,7
LRRIQ1,3
LRRN1,8
LRRN3,3
LRRTM2,3
LRRTM4,6
LSAMP,9
LSG1,1
LSM11,9
LSM12,1
LSM14B,7
LSM6,8
LSM8,3
LSR,8
LSS,6
LTA4H,1
LTB4R,8
LTBP1,7
LTBP2,7
LTBP3,2
LUC7L2,2
LUC7L3,3
LUZP2,4
LXN,9
LY6E,1
LY6G5B,8
LYAR,1
LYN,1
LYNX1,4
LYPD1,9
LYPD6,3
LYRM1,3
LYRM2,3
LYRM4-AS1,2
LYRM9,7
LYSET,3
LYSMD1,3
LYST,3
LZIC,3
LZTFL1,3
LZTS1,3
M6PR,9
MAB21L1,9
MACC1,1
MACIR,3
MACO1,3
MACROD2,2
MACROH2A1,2
MACROH2A2,7
MAD2L2,1
MADD,3
MAFG,7
MAGED1,3
MAGED4B,3
MAGEE1,7
MAGEH1,9
MAGEL2,2
MAGI2,3
MAGI2-AS3,3
MAK,5
MAL2,4
MALL,4
MAMDC2,7
MAML2,9
MAMLD1,6
MAN1A1,2
MAN1C1,4
MAN2A1,1
MAN2A2,2
MANEA,3
MANEAL,6
MANF,7
MANSC1,9
MAOA,4
MAP10,1
MAP1A,2
MAP1B,3
MAP2,6
MAP2K4,3
MAP2K6,1
MAP3K12,1
MAP3K13,3
MAP3K14,7
MAP3K21,1
MAP3K4-AS1,6
MAP3K6,1
MAP3K8,8
MAP3K9,7
MAP3K9-DT,8
MAP4,7
MAP4K1,1
MAP4K2,8
MAP4K3-DT,3
MAP4K4,6
MAP6,3
MAP6D1,7
MAP7,5
MAP7D2,8
MAP7D3,1
MAP9,3
MAPDA,8
MAPK10,1
MAPK11,2
MAPK12,7
MAPK1IP1L,5
MAPK8IP2,6
MAPKAP1,8
MAPKAPK3,8
MAPKAPK5,8
MAPKAPK5-AS1,4
MAPRE2,3
MAPRE3,6
MAPT,6
MARCHF5,3
MARCHF9,3
MARF1,6
MARK1,3
MARS1,8
MARS2,8
MARVELD1,1
MARVELD2,1
MARVELD3,1
MASP1,3
MAST1,6
MAST2,2
MASTL,1
MAT2A,8
MAT2B,3
MATCAP2,3
MAX,7
MB21D2,1
MBD4,4
MBD5,3
MBIP,3
MBLAC2,9
MBNL1,3
MBNL2,3
MBNL3,1
MC1R,6
MCAM,2
MCC,3
MCCC1,3
MCCC2,8
MCEE,3
MCF2L,8
MCF2L2,1
MCM3,5
MCM3AP,7
MCM3AP-AS1,7
MCM4,5
MCM5,8
MCM9,1
MCMBP,8
MCOLN3,4
MCPH1,3
MCTP1,6
MCTS1,9
MCU,5
MCUB,7
MCUR1,7
MDC1,7
MDN1,8
ME3,8
MEAF6,3
MEAK7,2
MECOM,7
MECR,1
MED10,3
MED20,1
MED22,8
MED7,9
MEF2C,6
MEG3,1
MEGF10,4
MEGF9,6
MEIOC,4
MEIS1,2
MEIS2,6
MERTK,7
MESD,8
MEST,3
MET,1
METAP1,5
METTL1,1
METTL13,8
METTL16,8
METTL24,10
METTL25,1
METTL2A,7
METTL2B,7
METTL3,7
METTL4,3
METTL9,3
MFAP2,8
MFAP3L,5
MFF,3
MFGE8,4
MFHAS1,5
MFSD12,7
MFSD14A,3
MFSD2A,9
MFSD6,9
MGAT3,2
MGAT4A,3
MGC12916,8
MGLL,9
MGST1,4
MGST3,4
MICAL1,5
MICAL2,1
MICB,1
MICU1,3
MID2,2
MIDEAS,2
MIEF1,7
MINAR1,9
MINDY3,3
MIPEP,7
MIR106AHG,5
MIR124-1HG,3
MIR124-2HG,3
MIR130AHG,8
MIR17HG,5
MIR1915HG,5
MIR302CHG,4
MIR325HG,3
MIR7-3HG,3
MIR762HG,3
MIR9-1HG,7
MIR9-2HG,6
MIR924HG,8
MIR99AHG,3
MIS18A,8
MKI67,9
MKKS,3
MKNK1,2
MKRN1,3
MKRN2,3
MKRN3,3
MLC1,6
MLF1,9
MLLT11,6
MLLT3,3
MLLT6,6
MMAA,3
MMACHC,7
MMADHC,4
MMP11,4
MMP14,1
MMP2,8
MMP24,4
MMRN1,3
MMS19,1
MMUT,3
MN1,9
MOAP1,6
MOB3B,9
MOCS1,8
MOCS2,3
MOK,2
MORC3,3
MORC4,3
MORN2,3
MORN4,3
MOSMO,10
MOV10,8
MPC1,3
MPDZ,3
MPHOSPH8,3
MPI,4
MPP3,6
MPP7,5
MPPE1,9
MPPED1,6
MPPED2,3
MPV17L2,8
MRAP2,9
MREG,5
MRM2,1
MRNIP,7
MROH8,6
MRPL3,8
MRPL32,1
MRPL35,3
MRPL40,3
MRPL44,1
MRPL48,3
MRPL49,1
MRPS14,3
MRPS18B,2
MRPS25,7
MRPS27,1
MRPS33,3
MRPS9,8
MRRF,6
MRS2,6
MRTFA,7
MRTO4,8
MSANTD2,2
MSANTD2-AS1,3
MSANTD4,3
MSH3,5
MSH5,9
MSH6,8
MSN,1
MSRA,3
MSRB3,7
MSTO1,8
MT1X,8
MTA3,5
MTCL1,4
MTCL3,6
MTERF2,3
MTERF4,8
MTFR1L,3
MTHFD1,7
MTHFD2,4
MTHFD2L,3
MTHFS,1
MTIF3,3
MTM1,4
MTMR10,9
MTMR14,8
MTMR3,3
MTMR4,3
MTMR6,3
MTMR7,1
MTOR,8
MTPAP,5
MTRES1,3
MTRFR,7
MTSS1,6
MTSS2,2
MTTP,9
MTURN,3
MTUS1,6
MUC12,9
MUC4,4
MXD1,3
MXI1,3
MXRA5,7
MXRA7,3
MXRA8,8
MYADM,7
MYBBP1A,8
MYBL2,8
MYC,8
MYCBP2,3
MYCL,9
MYCN,1
MYD88,3
MYH14,8
MYH2,7
MYH9,8
MYL12A,5
MYL9,8
MYLIP,8
MYLK,10
MYLK-AS1,3
MYO10,7
MYO15B,1
MYO16,3
MYO19,1
MYO1B,10
MYO1C,8
MYO1E,9
MYO3B,1
MYO5B,1
MYO5C,8
MYO7A,1
MYOF,10
MYORG,3
MYOZ1,1
MYRF,9
MYT1,6
N4BP1,8
N4BP2L1,3
N4BP2L2,3
N4BP3,5
N6AMT1,7
NAA30,5
NAALAD2,3
NAB1,2
NAB2,2
NACC1,8
NADSYN1,9
NAIP,3
NALF2,3
NANOS1,8
NANS,2
NAP1L2,4
NAP1L4,3
NAP1L5,6
NAPB,6
NARS2,10
NASP,1
NAT1,9
NAT10,8
NAV1,7
NAV2,5
NAV3,6
NBAS,3
NBDY,3
NBEAL2,1
NBL1,7
NBPF1,2
NBPF10,3
NBPF11,3
NBPF12,3
NBPF14,3
NBPF15,6
NBPF20,6
NBPF25P,3
NBPF26,2
NBPF3,4
NBPF8,6
NBPF9,6
NBR1,3
NCALD,7
NCAM1,3
NCAPH,8
NCKAP5,9
NCKIPSD,8
NCL,8
NCOA4,3
NCOA6,2
NCOA7,1
NCR3LG1,3
NCS1,2
ND2,4
NDFIP1,3
NDN,3
NDNF,6
NDP,3
NDRG2,3
NDRG3,2
NDRG4,6
NDST1,7
NDST3,6
NDST4,6
NDUFA10,3
NDUFA8,3
NDUFA9,1
NDUFAF3,3
NDUFAF5,3
NDUFAF6,6
NDUFAF7,8
NDUFB5,3
NDUFC1,3
NDUFS4,3
NEBL,9
NECAB1,4
NECAP1,6
NECAP2,8
NECTIN1,7
NECTIN2,7
NECTIN3,2
NEDD1,9
NEDD4,3
NEDD4L,3
NEDD9,2
NEFH,2
NEFL,6
NEFM,3
NEGR1,3
NEIL1,8
NEIL3,3
NEK2,9
NEK3,8
NEK6,2
NEK8,1
NEK9,7
NELFCD,2
NELL2,3
NEMF,3
NENF,3
NEO1,7
NETO1,9
NETO2,7
NEU1,2
NEURL1B,1
NEUROD1,9
NEUROD4,9
NEXMIF,3
NEXN,7
NFATC2IP,8
NFATC3,3
NFE2,1
NFE2L2,9
NFE2L3,1
NFKB1,9
NFKBIB,8
NFKBIZ,1
NFRKB,7
NFX1,2
NFYA,9
NGEF,5
NGRN,3
NHLH1,2
NHLH2,9
NHS,5
NHSL1,2
NHSL3,8
NIBAN2,1
NICN1,6
NID1,8
NID2,5
NIN,3
NINJ2-AS1,4
NIP7,1
NIPA1,3
NIPSNAP1,8
NIPSNAP2,3
NIPSNAP3A,6
NIT1,9
NIT2,3
NKAIN1,2
NKAIN2,6
NKAIN3,5
NKAP,9
NKAPD1,3
NKRF,5
NKX2-1,6
NKX2-2,9
NKX6-1,9
NKX6-2,9
NLE1,8
NLGN1,2
NLGN4X,3
NLN,1
NLRP2,8
NLRX1,1
NMD3,3
NME4,1
NME6,2
NME7,3
NMNAT2,6
NMRAL1,1
NMRK2,4
NMT1,8
NMT2,6
NMU,3
NNT,3
NOC2L,8
NOCT,8
NOD1,2
NOL4,6
NOL4L,2
NOL6,8
NOLC1,1
NOM1,5
NOMO1,8
NONO,2
NOP14,8
NOP16,1
NOP2,8
NOP56,1
NOP58,1
NOS2,7
NOVA1,6
NOVA2,2
NPAS3,3
NPC2,1
NPEPPS,7
NPHP1,2
NPIPA2,1
NPLOC4,7
NPM3,1
NPR2,1
NPRL2,3
NPTN,5
NPTX1,1
NPTX2,9
NPTXR,3
NPY1R,1
NPY2R,7
NQO2,2
NR1D2,5
NR2C1,10
NR2C2AP,1
NR2E1,3
NR2F1,2
NR2F1-AS1,3
NR2F2,9
NR2F2-AS1,9
NR4A1,2
NR5A1,10
NR6A1,5
NRARP,2
NRAS,5
NRAV,3
NRBP1,1
NRCAM,3
NRG1,8
NRIP1,2
NRIP3,5
NRN1,9
NRP1,6
NRP2,4
NRSN1,6
NRXN1,1
NRXN2,6
NRXN3,4
NSD1,5
NSD3,3
NSF,3
NSG1,6
NSG2,6
NSMAF,4
NSMCE1,4
NSUN2,8
NSUN6,6
NSUN7,8
NT5C2,7
NT5C3A,3
NT5DC1,5
NT5DC3,1
NTAN1,4
NTAQ1,9
NTF3,1
NTM,3
NTN1,9
NTN4,6
NTNG1,9
NTPCR,3
NTRK2,9
NTRK3,7
NTS,9
NUAK1,7
NUAK2,7
NUCB2,2
NUDCD2,9
NUDT1,1
NUDT10,6
NUDT11,6
NUDT12,3
NUDT15,8
NUDT16,2
NUDT6,8
NUDT7,3
NUDT9,3
NUF2,3
NUFIP1,8
NUP188,8
NUP210,8
NUP214,7
NUP50-DT,3
NUP54,1
NUP62,8
NUP62CL,3
NUP93,8
NUP98,10
NUTM2D,7
NXPE3,3
NXPH2,2
NXPH3,5
NYAP1,6
NYNRIN,8
OAF,3
OAT,3
OAZ2,7
OBI1,3
OCIAD2,8
OCLN,5
ODAD2,1
ODAD4,6
ODC1,2
ODF2,2
ODF2L,3
OFD1,3
OGA,1
OGDH,8
OGFOD1,7
OGFOD3,8
OGFRL1,3
OGG1,8
OLA1,4
OLFM1,3
OLFM2,1
OLFM3,10
OLFML2A,1
OLFML3,4
OLIG2,3
OLMALINC,3
ONECUT1,6
ONECUT2,3
ONECUT3,3
OPN3,9
OPRK1,4
OPTN,4
ORAI2,2
ORC1,1
ORC2,5
ORC6,8
ORMDL3,8
OS9,3
OSBP2,5
OSBPL10,1
OSBPL1A,4
OSBPL6,10
OSCP1,2
OSER1,3
OSER1-DT,3
OSGEP,8
OSGEPL1,3
OSTM1,3
OTP,3
OTUB2,1
OTUD6B-AS1,3
OTUD7A,9
OTULINL,7
OTX1,5
OTX2,8
OXNAD1,1
OXR1,3
P2RX3,2
P2RY1,9
P2RY2,7
P3H2,8
P3H3,8
P4HA2,3
PAAF1,3
PABIR3,3
PABPC1,5
PABPC1L,8
PABPC4,8
PABPC5,3
PABPN1,8
PACC1,3
PACRG,3
PACRGL,9
PACS1,2
PACSIN3,4
PAFAH1B2,5
PAGR1,1
PAICS,5
PAK1,3
